end_date,age_grp,daily_cases,weekly_cases,pop,prop_cases
Nov 28,50 to 59,647,5764,871660,6.61267007778262
Nov 28,60 to 69,474,4524,772889,5.85336316081611
Nov 28,70 to 79,346,2645,450969,5.86514815874262
Nov 28,80 and older,213,1740,253527,6.86317433646121
Dec 05,0 to 19,964,6700,1752893,3.82225269882417
Dec 05,20 to 29,1226,8510,930073,9.14981942277649
Dec 05,30 to 39,1043,7634,844497,9.03970055547859
Dec 05,40 to 49,1021,7583,815370,9.30007235978758
Dec 05,50 to 59,951,7174,871660,8.2302732716885
Dec 05,60 to 69,716,5570,772889,7.20672696855564
Dec 05,70 to 79,369,2987,450969,6.62351514183902
Dec 05,80 and older,268,2104,253527,8.29891885282435
Dec 12,0 to 19,913,6593,1752893,3.76121075273847
Dec 12,20 to 29,949,7855,930073,8.44557362701637
Dec 12,30 to 39,919,6943,844497,8.22146200637776
Dec 12,40 to 49,938,6685,815370,8.19873186406172
Dec 12,50 to 59,879,6400,871660,7.34231236950187
Dec 12,60 to 69,648,4844,772889,6.26739415362361
Dec 12,70 to 79,411,2687,450969,5.95828094614042
Dec 12,80 and older,251,1809,253527,7.13533469807949
Dec 19,0 to 19,938,5810,1752893,3.31452062390574
Dec 19,20 to 29,1155,6513,930073,7.00267613402389
Dec 19,30 to 39,1037,6098,844497,7.22086638555258
Dec 19,40 to 49,982,6018,815370,7.38069833327201
Dec 19,50 to 59,954,5837,871660,6.69641832824725
Dec 19,60 to 69,711,4469,772889,5.78220158392732
Dec 19,70 to 79,396,2541,450969,5.63453363756711
Dec 19,80 and older,266,1719,253527,6.78034292205564
Dec 26,0 to 19,248,4193,1752893,2.39204560689101
Dec 26,20 to 29,279,4732,930073,5.08777268020897
Dec 26,30 to 39,307,4647,844497,5.50268384612379
Dec 26,40 to 49,298,4558,815370,5.59010019990924
Dec 26,50 to 59,229,4473,871660,5.13158800449717
Dec 26,60 to 69,219,3547,772889,4.58927478590069
Dec 26,70 to 79,143,2151,450969,4.76972918315893
Dec 26,80 and older,98,1334,253527,5.26176699128692
Jan 02,0 to 19,402,4135,1752893,2.35895744919969
Jan 02,20 to 29,507,5537,930073,5.95329613912026
Jan 02,30 to 39,488,5134,844497,6.07935848203132
Jan 02,40 to 49,433,4972,815370,6.09784515005458
Jan 02,50 to 59,462,4911,871660,5.63407750728495
Jan 02,60 to 69,348,3936,772889,5.09258121153232
Jan 02,70 to 79,205,2265,450969,5.0225181775244
Jan 02,80 and older,156,1483,253527,5.84947559825975
Jan 09,0 to 19,798,5750,1752893,3.28029149525955
Jan 09,20 to 29,931,6896,930073,7.41447176726988
Jan 09,30 to 39,835,5986,844497,7.08824306066215
Jan 09,40 to 49,742,5534,815370,6.78710278769148
Jan 09,50 to 59,766,5682,871660,6.51859670054838
Jan 09,60 to 69,553,4077,772889,5.27501361773812
Jan 09,70 to 79,287,2339,450969,5.18660927913005
Jan 09,80 and older,187,1498,253527,5.90864089426373
Jan 16,0 to 19,580,4486,1752893,2.55919785177989
Jan 16,20 to 29,533,4741,930073,5.09744933999804
Jan 16,30 to 39,484,4045,844497,4.78983347483769
Jan 16,40 to 49,489,3946,815370,4.83952070839006
Jan 16,50 to 59,392,3776,871660,4.3319642980061
Jan 16,60 to 69,367,2970,772889,3.84272515199466
Jan 16,70 to 79,209,1714,450969,3.80070470475798
Jan 16,80 and older,107,986,253527,3.88913212399468
Jan 23,0 to 19,459,3597,1752893,2.05203626233889
Jan 23,20 to 29,421,3466,930073,3.72658920321308
Jan 23,30 to 39,400,3245,844497,3.84252401133456
Jan 23,40 to 49,387,3057,815370,3.749218146363
Jan 23,50 to 59,357,3046,871660,3.4944817933598
Jan 23,60 to 69,289,2414,772889,3.12334630199162
Jan 23,70 to 79,157,1342,450969,2.97581430209172
Jan 23,80 and older,73,809,253527,3.19098163114777
Jan 30,0 to 19,299,2762,1752893,1.57568088867946
Jan 30,20 to 29,307,2588,930073,2.78257728156822
Jan 30,30 to 39,265,2440,844497,2.88929386368454
Jan 30,40 to 49,233,2326,815370,2.85269264260397
Jan 30,50 to 59,225,2262,871660,2.59504852809582
Jan 30,60 to 69,210,1761,772889,2.2784643072938
Jan 30,70 to 79,120,1005,450969,2.2285345555903
Jan 30,80 and older,53,516,253527,2.03528618253677
Feb 06,0 to 19,293,2313,1752893,1.31953290931049
Feb 06,20 to 29,314,2192,930073,2.35680425084913
Feb 06,30 to 39,292,2097,844497,2.48313493120757
Feb 06,40 to 49,269,1868,815370,2.29098446104223
Feb 06,50 to 59,249,1906,871660,2.18663240254228
Feb 06,60 to 69,163,1398,772889,1.80879789982779
Feb 06,70 to 79,93,749,450969,1.66086804192749
Feb 06,80 and older,51,536,253527,2.11417324387541
Feb 13,0 to 19,264,1880,1752893,1.07251269758051
Feb 13,20 to 29,209,1696,930073,1.82351277802925
Feb 13,30 to 39,184,1389,844497,1.6447660560073
Feb 13,40 to 49,187,1321,815370,1.62012337957001
Feb 13,50 to 59,174,1369,871660,1.57056650528876
Feb 13,60 to 69,122,947,772889,1.22527296933971
Feb 13,70 to 79,47,430,450969,0.953502347167987
Feb 13,80 and older,27,250,253527,0.986088266732932
Feb 20,0 to 19,169,1233,1752893,0.703408593679135
Feb 20,20 to 29,163,1359,930073,1.46117562814962
Feb 20,30 to 39,131,976,844497,1.15571754547381
Feb 20,40 to 49,147,1053,815370,1.29143824276096
Feb 20,50 to 59,121,966,871660,1.10823027327169
Feb 20,60 to 69,87,708,772889,0.916043571586606
Feb 20,70 to 79,34,295,450969,0.654146959103619
Feb 20,80 and older,17,128,253527,0.504877192567261
Feb 27,0 to 19,173,1278,1752893,0.729080440163775
Feb 27,20 to 29,134,1243,930073,1.33645423531271
Feb 27,30 to 39,117,932,844497,1.10361552498114
Feb 27,40 to 49,104,892,815370,1.09398187325999
Feb 27,50 to 59,99,856,871660,0.982034279420875
Feb 27,60 to 69,60,597,772889,0.772426570956502
Feb 27,70 to 79,22,240,450969,0.532187356558877
Feb 27,80 and older,10,119,253527,0.469378014964876
Mar 06,0 to 19,158,1144,1752893,0.652635386187292
Mar 06,20 to 29,133,1107,930073,1.19022915405565
